FIPS ,State,County,"Population Estimate, 2013",VLFOODSEC_13_15,FOODINSEC_13_15,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13
01001, Alabama,Autauga ,"54,792",7.3,17.6,13,34.1
01003, Alabama,Baldwin ,"195,147",7.3,17.6,10.4,27.4
01005, Alabama,Barbour ,"26,938",7.3,17.6,18.4,44.4
01007, Alabama,Bibb ,"22,501",7.3,17.6,14.8,40.3
01009, Alabama,Blount ,"57,746",7.3,17.6,14.1,34.6
01011, Alabama,Bullock ,"10,576",7.3,17.6,19.6,43
01013, Alabama,Butler ,"20,330",7.3,17.6,17.7,36.3
01015, Alabama,Calhoun ,"116,475",7.3,17.6,14.9,32.2
01017, Alabama,Chambers ,"34,123",7.3,17.6,16.4,39.7
01019, Alabama,Cherokee ,"26,074",7.3,17.6,13.3,33.6
01021, Alabama,Chilton ,"43,769",7.3,17.6,13.3,35.9
01023, Alabama,Choctaw ,"13,384",7.3,17.6,18.1,40.8
01025, Alabama,Clarke ,"25,105",7.3,17.6,16.3,38.2
01027, Alabama,Clay ,"13,464",7.3,17.6,14.6,37.3
01029, Alabama,Cleburne ,"15,031",7.3,17.6,12.6,30
01031, Alabama,Coffee ,"50,729",7.3,17.6,15.9,33.7
01033, Alabama,Colbert ,"54,456",7.3,17.6,18.7,37.5
01035, Alabama,Conecuh ,"12,866",7.3,17.6,17.4,36.4
01037, Alabama,Coosa ,"11,058",7.3,17.6,17.3,39.7
01039, Alabama,Covington ,"37,890",7.3,17.6,14.7,34
01041, Alabama,Crenshaw ,"13,874",7.3,17.6,16.5,39.7
01043, Alabama,Cullman ,"80,731",7.3,17.6,14.4,33.4
01045, Alabama,Dale ,"49,753",7.3,17.6,14.1,36.5
01047, Alabama,Dallas ,"41,950",7.3,17.6,19,40.8
01049, Alabama,DeKalb ,"70,882",7.3,17.6,13.4,30.4
01051, Alabama,Elmore ,"80,661",7.3,17.6,13.4,35.4
01053, Alabama,Escambia ,"37,877",7.3,17.6,17.8,37.7
01055, Alabama,Etowah ,"103,790",7.3,17.6,16.8,35.1
01057, Alabama,Fayette ,"16,858",7.3,17.6,15.1,33.7
01059, Alabama,Franklin ,"31,505",7.3,17.6,13.9,33.2
01061, Alabama,Geneva ,"26,754",7.3,17.6,13.9,34.1
01063, Alabama,Greene ,"8,702",7.3,17.6,21,46.3
01065, Alabama,Hale ,"15,293",7.3,17.6,16,40.4
01067, Alabama,Henry ,"17,188",7.3,17.6,18.7,35.8
