FIPS,State,County,"Population Estimate, 2013",VLFOODSEC_13_15,FOODINSEC_13_15,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13
1001,Alabama,Autauga,54792,7.3,17.6,13,34.1
1003,Alabama,Baldwin,195147,7.3,17.6,10.4,27.4
1005,Alabama,Barbour,26938,7.3,17.6,18.4,44.4
1007,Alabama,Bibb,22501,7.3,17.6,14.8,40.3
1009,Alabama,Blount,57746,7.3,17.6,14.1,34.6
1011,Alabama,Bullock,10576,7.3,17.6,19.6,43
1013,Alabama,Butler,20330,7.3,17.6,17.7,36.3
1015,Alabama,Calhoun,116475,7.3,17.6,14.9,32.2
1017,Alabama,Chambers,34123,7.3,17.6,16.4,39.7
1019,Alabama,Cherokee,26074,7.3,17.6,13.3,33.6
1021,Alabama,Chilton,43769,7.3,17.6,13.3,35.9
1023,Alabama,Choctaw,13384,7.3,17.6,18.1,40.8
1025,Alabama,Clarke,25105,7.3,17.6,16.3,38.2
1027,Alabama,Clay,13464,7.3,17.6,14.6,37.3
1029,Alabama,Cleburne,15031,7.3,17.6,12.6,30
1031,Alabama,Coffee,50729,7.3,17.6,15.9,33.7
1033,Alabama,Colbert,54456,7.3,17.6,18.7,37.5
1035,Alabama,Conecuh,12866,7.3,17.6,17.4,36.4
1037,Alabama,Coosa,11058,7.3,17.6,17.3,39.7
1039,Alabama,Covington,37890,7.3,17.6,14.7,34
1041,Alabama,Crenshaw,13874,7.3,17.6,16.5,39.7
1043,Alabama,Cullman,80731,7.3,17.6,14.4,33.4
1045,Alabama,Dale,49753,7.3,17.6,14.1,36.5
1047,Alabama,Dallas,41950,7.3,17.6,19,40.8
1049,Alabama,DeKalb,70882,7.3,17.6,13.4,30.4
1051,Alabama,Elmore,80661,7.3,17.6,13.4,35.4
1053,Alabama,Escambia,37877,7.3,17.6,17.8,37.7
1055,Alabama,Etowah,103790,7.3,17.6,16.8,35.1
1057,Alabama,Fayette,16858,7.3,17.6,15.1,33.7
1059,Alabama,Franklin,31505,7.3,17.6,13.9,33.2
1061,Alabama,Geneva,26754,7.3,17.6,13.9,34.1
1063,Alabama,Greene,8702,7.3,17.6,21,46.3
1065,Alabama,Hale,15293,7.3,17.6,16,40.4
1067,Alabama,Henry,17188,7.3,17.6,18.7,35.8
1069,Alabama,Houston,103614,7.3,17.6,13.7,32.8
1071,Alabama,Jackson,52939,7.3,17.6,14.9,32
1073,Alabama,Jefferson,658578,7.3,17.6,13,33.2
1075,Alabama,Lamar,14192,7.3,17.6,14.9,33.6
1077,Alabama,Lauderdale,92713,7.3,17.6,14.2,32.9
1079,Alabama,Lawrence,33570,7.3,17.6,15.6,35.5
1081,Alabama,Lee,151411,7.3,17.6,9.5,29
1083,Alabama,Limestone,88904,7.3,17.6,12.6,32.9
1085,Alabama,Lowndes,10685,7.3,17.6,23.5,45.1
1087,Alabama,Macon,20016,7.3,17.6,18.4,44.7
1089,Alabama,Madison,346704,7.3,17.6,11.5,32.3
1091,Alabama,Marengo,20208,7.3,17.6,20.2,40.3
1093,Alabama,Marion,30283,7.3,17.6,18.7,35.5
1095,Alabama,Marshall,94318,7.3,17.6,12.8,33.2
1097,Alabama,Mobile,413884,7.3,17.6,15.6,37.1
1099,Alabama,Monroe,22154,7.3,17.6,17.8,35.3
1101,Alabama,Montgomery,227841,7.3,17.6,13.5,34.8
1103,Alabama,Morgan,119652,7.3,17.6,12.6,31.6
1105,Alabama,Perry,9995,7.3,17.6,21.7,43
1107,Alabama,Pickens,19370,7.3,17.6,16.4,36.4
1109,Alabama,Pike,33592,7.3,17.6,13.5,38.4
1111,Alabama,Randolph,22629,7.3,17.6,14.9,30.9
1113,Alabama,Russell,59240,7.3,17.6,12.9,36.4
1115,Alabama,St. Clair,86225,7.3,17.6,12.8,33
1117,Alabama,Shelby,203825,7.3,17.6,8.7,30.1
1119,Alabama,Sumter,13409,7.3,17.6,20.1,40.3
1121,Alabama,Talladega,81277,7.3,17.6,15.3,39
1123,Alabama,Tallapoosa,41139,7.3,17.6,13.7,36.9
1125,Alabama,Tuscaloosa,200681,7.3,17.6,12.3,34.3
1127,Alabama,Walker,65934,7.3,17.6,16.7,33.2
1129,Alabama,Washington,16881,7.3,17.6,17.8,40.2
1131,Alabama,Wilcox,11194,7.3,17.6,19.3,44.9
1133,Alabama,Winston,24150,7.3,17.6,13.2,30.2
2013,Alaska,Aleutians East,3302,4.4,13.3,7.6,33.4
2016,Alaska,Aleutians West,5715,4.4,13.3,6.2,39.4
2020,Alaska,Anchorage Municipality,301143,4.4,13.3,7,27
2050,Alaska,Bethel,17865,4.4,13.3,5.8,30.3
2060,Alaska,Bristol Bay,954,4.4,13.3,8.5,39.7
2068,Alaska,Denali Borough,1940,4.4,13.3,5.8,27
2070,Alaska,Dillingham,4994,4.4,13.3,7.2,38
2090,Alaska,Fairbanks North Star Borough,100879,4.4,13.3,5.5,28.1
2100,Alaska,Haines,2551,4.4,13.3,7.9,25.5
2105,Alaska,Hoonah-Angoon Census Area,2128,4.4,13.3,7.3,31.8
2110,Alaska,Juneau,32604,4.4,13.3,5.9,28.6
2122,Alaska,Kenai Peninsula,57059,4.4,13.3,7.2,28.4
2130,Alaska,Ketchikan Gateway Borough,13673,4.4,13.3,8.9,30.8
2150,Alaska,Kodiak Island,14066,4.4,13.3,6.6,30.2
