StateFIPS,State,"WIC participants, FY 2013","National School Lunch Program participants, FY 2013","School Breakfast Program participants, FY 2013","Child and Adult Care participants, FY 2013","Summer Food participants, FY 2013","State Population, 2013",Percent population uninsured
1,Alabama,"1,39,001","5,39,664","2,24,173","41,863","30,308","48,33,722",13.6
2,Alaska,"23,055","52,495","20,741","10,963","5,078","7,35,132",18.5
4,Arizona,"1,82,501","6,46,767","2,89,520","42,945","23,688","66,26,624",17.1
5,Arkansas,"89,777","3,32,497","1,66,376","67,630","41,946","29,59,373",16
6,California,"14,31,881","32,94,580","15,17,341","4,51,422","1,14,689","3,83,32,521",17.2
8,Colorado,"96,874","3,75,033","1,55,733","32,507","17,933","52,68,367",14.1
9,Connecticut,"54,248","2,80,253","87,971","20,780","12,171","35,96,080",9.4
10,Delaware,"20,797","94,571","39,522","19,016","8,190","9,25,749",9.1
11,District of Columbia,"15,674","50,569","34,873","4,990","34,778","6,46,449",6.7
12,Florida,"4,83,565","16,38,775","7,50,969","2,23,791","1,45,389","1,95,52,860",20
13,Georgia,"2,89,524","12,45,368","6,08,138","1,38,070","71,557","99,92,167",18.8
15,Hawaii,"36,370","1,13,609","38,466","10,123","5,324","14,04,054",6.7
16,Idaho,"43,292","1,60,189","75,368","10,694","20,959","16,12,136",16.2
17,Illinois,"2,80,463","11,24,196","4,16,091","1,29,335","54,067","1,28,82,135",12.7
18,Indiana,"1,59,525","7,81,172","2,59,036","79,035","58,664","65,70,902",14
19,Iowa,"65,876","3,84,195","94,781","38,978","13,607","30,90,416",8.1
20,Kansas,"70,615","3,48,152","1,11,453","47,874","25,237","28,93,957",12.3
21,Kentucky,"1,29,923","5,32,791","2,76,997","52,232","20,189","43,95,295",14.3
22,Louisiana,"1,39,856","5,65,262","2,65,628","64,583","40,912","46,25,470",16.6
23,Maine,"24,380","1,00,839","44,986","10,648","10,553","13,28,302",11.2
24,Maryland,"1,44,628","4,22,746","2,11,676","64,500","73,830","59,28,814",10.2
25,Massachusetts,"1,19,952","5,14,436","1,51,474","66,777","46,751","66,92,824",3.7
26,Michigan,"2,54,126","8,74,098","3,81,516","79,846","76,198","98,95,622",11
27,Minnesota,"1,24,745","6,08,867","1,81,891","90,492","45,966","54,20,380",8.2
28,Mississippi,"91,652","3,91,574","2,07,305","41,517","26,916","29,91,207",17.1
29,Missouri,"1,40,821","6,10,370","2,63,352","67,817","27,008","60,44,171",13
30,Montana,"19,848","84,069","28,155","13,373","7,615","10,15,165",16.5
31,Nebraska,"40,151","2,43,120","66,556","45,305","9,879","18,68,516",11.3
32,Nevada,"75,011","2,15,821","92,738","14,492","9,716","27,90,136",20.7
33,New Hampshire,"15,679","97,396","22,497","8,689","14,659","13,23,459",10.7
34,New Jersey,"1,67,873","6,94,175","2,42,578","79,690","59,505","88,99,339",13.2
35,New Mexico,"61,352","2,20,187","1,48,155","36,382","22,386","20,85,287",18.6
36,New York,"5,13,299","17,23,748","6,41,178","2,95,653","3,93,066","1,96,51,127",10.7
37,North Carolina,"2,64,755","9,06,460","4,19,976","1,15,084","98,255","98,48,060",15.6
38,North Dakota,"13,273","87,065","23,805","16,818","2,454","7,23,393",10.4
39,Ohio,"2,63,683","10,63,939","4,22,862","1,22,551","60,307","1,15,70,808",11
40,Oklahoma,"1,18,552","4,37,992","2,27,754","53,632","11,315","38,50,568",17.7
41,Oregon,"1,07,859","2,93,387","1,39,697","44,570","38,653","39,30,065",14.7
42,Pennsylvania,"2,53,258","10,66,255","3,45,082","1,35,342","96,893","1,27,73,801",9.7
44,Rhode Island,"23,416","77,353","32,531","9,192","8,188","10,51,511",11.6
45,South Carolina,"1,24,287","4,78,054","2,73,443","35,514","56,172","47,74,839",15.8
46,South Dakota,"20,430","1,06,252","28,026","14,372","6,060","8,44,877",11.3
47,Tennessee,"1,59,426","6,56,847","3,50,108","70,148","41,923","64,95,978",13.9
48,Texas,"9,55,072","33,14,594","18,18,710","3,69,515","1,80,355","2,64,48,193",22.1
49,Utah,"66,726","3,31,693","74,310","32,788","13,186","29,00,872",14
50,Vermont,"14,836","51,537","22,926","9,011","6,654","6,26,630",7.2
51,Virginia,"1,55,935","7,17,618","2,72,470","65,338","55,519","82,60,405",12.3
53,Washington,"1,91,753","5,19,599","1,83,975","65,756","40,365","69,71,406",14
54,West Virginia,"46,402","1,94,032","1,16,981","24,984","11,930","18,54,304",14
55,Wisconsin,"1,13,763","5,62,217","1,73,059","59,572","88,294","57,42,713",9.1
56,Wyoming,"11,980","53,764","14,914","8,244","3,516","5,82,658",13.4
